Date,Open,High,Low,Close,Adj Close,Volume
21-12-2020,1188,1209.75,1152.050049,1177.300049,1154.499878,10858352
22-12-2020,1182,1223.849976,1176.099976,1220.5,1196.863159,10901851
23-12-2020,1238,1258.849976,1230.550049,1253.050049,1228.782837,15878346
24-12-2020,1249.900024,1249.900024,1226,1236.050049,1212.112061,7313885
28-12-2020,1238.449951,1248,1236,1240.300049,1216.279663,4607051
29-12-2020,1235,1254.449951,1235,1250.300049,1226.08606,6878105
30-12-2020,1253,1253.300049,1238.150024,1246.800049,1222.653931,5194690
31-12-2020,1243,1258.400024,1239,1255.800049,1231.479614,7430470
01-01-2021,1257.900024,1265.5,1255.800049,1260.449951,1236.039429,4253550
04-01-2021,1269,1290,1261.150024,1288.25,1263.301147,7208454
05-01-2021,1282,1299,1275.050049,1293.800049,1268.74353,8145280
06-01-2021,1300,1302,1268.050049,1282.099976,1257.270142,7161715
07-01-2021,1296,1297.650024,1255.5,1262.150024,1237.706543,10954918
08-01-2021,1278.25,1316.800049,1278.25,1312.099976,1286.689209,13186251
11-01-2021,1342.099976,1383.349976,1340,1376.199951,1349.547729,20528626
12-01-2021,1378,1378,1360,1371.75,1345.18396,8309868
13-01-2021,1373.849976,1392.800049,1360,1387.150024,1360.285645,14442997
14-01-2021,1360,1384,1318.449951,1370.5,1343.95813,27521697
15-01-2021,1360,1364.449951,1340,1344.949951,1318.902954,15018441
18-01-2021,1338,1340,1306,1312.050049,1286.640137,8861765
19-01-2021,1320,1331,1312,1316.650024,1291.151123,5585744
20-01-2021,1320.550049,1348.400024,1320.550049,1339.449951,1313.509399,8225838
21-01-2021,1350,1361.050049,1335,1339.699951,1313.754639,6142421
22-01-2021,1327,1356,1326.550049,1340.849976,1314.882446,9646591
25-01-2021,1345,1347.900024,1313,1325.099976,1299.437378,6542611
27-01-2021,1319.599976,1327.550049,1285.099976,1301,1275.804199,8133665
28-01-2021,1291.800049,1296.449951,1272.550049,1276.199951,1251.484375,4660690
29-01-2021,1286.25,1291.150024,1231,1239.050049,1215.053955,12183519
01-02-2021,1250.550049,1277.949951,1241,1260.900024,1236.480835,8880279
02-02-2021,1280,1294.400024,1263.599976,1271.25,1246.630249,6892490
03-02-2021,1277.650024,1304,1273,1284.650024,1259.770874,8182968
04-02-2021,1285,1293.400024,1272.050049,1279.349976,1254.573364,5032240
05-02-2021,1286.400024,1288.75,1262,1272.099976,1247.463745,5477481
08-02-2021,1285.5,1310,1275.5,1303.550049,1278.30481,6921922
09-02-2021,1306.900024,1332,1297.849976,1305.550049,1280.266113,7965949
10-02-2021,1295.800049,1304.349976,1283.599976,1296.5,1271.391235,5951207
11-02-2021,1289,1296,1283.050049,1292.650024,1267.615845,4673317
12-02-2021,1305,1323.75,1301.550049,1309.800049,1284.433716,5797875
15-02-2021,1320,1328.400024,1307.099976,1309.650024,1284.286621,4363513
16-02-2021,1314,1319.75,1286,1290.400024,1265.409424,6896421
17-02-2021,1290.400024,1294.5,1275,1281.300049,1256.485718,4575741
18-02-2021,1276,1306,1275,1292.449951,1267.419678,6437551
19-02-2021,1296.099976,1299.5,1276.800049,1291.300049,1266.291992,5389696
22-02-2021,1295,1308.550049,1260,1265.199951,1240.69751,7371303
23-02-2021,1271.150024,1291,1257.550049,1266.349976,1241.825195,6612942
24-02-2021,1260.050049,1276.599976,1252,1274.300049,1249.621338,4537258
25-02-2021,1288.449951,1299.75,1272,1274.550049,1249.866455,8788221
26-02-2021,1269,1274.300049,1244.75,1253.300049,1229.027954,15132388
01-03-2021,1263.300049,1284.5,1259,1267,1242.462524,5756286
02-03-2021,1282.25,1310,1279.199951,1304.5,1279.23645,10461434
03-03-2021,1319.199951,1347,1308,1343.550049,1317.530029,9056399
04-03-2021,1335,1363.849976,1325.900024,1330.349976,1304.585693,12041941
05-03-2021,1328.5,1340,1305.050049,1316.699951,1291.200073,6486176
08-03-2021,1324.800049,1346.099976,1317.199951,1335.75,1309.881226,5119392
09-03-2021,1329.5,1350.449951,1318.75,1345.550049,1319.491455,6518173
10-03-2021,1356.900024,1374,1355,1368.150024,1341.653687,7925984
12-03-2021,1373,1391.699951,1370.050049,1374.849976,1348.223877,9462061
